Row_id,State,Agency_Type,Agency_name,Total_incidents_bias_motivation,Bias_Motivation_Race_Ethnicity_Ancestry,Bias_Motivation_Religion,Bias_Motivation_Sexual_orientation,Bias_Motivation_Disability,Bias_Motivation_Gender,Bias_Motivation_Gender_Identity,Total_incidents_Q1_to_Q4,No_of_incidents_Q1,No_of_incidents_Q2,No_of_incidents_Q3,No_of_incidents_Q4,Population,agency_with_state,agency_with_state_clean,lon,lat
141,California,Cities,Palm Springs,4,1,0,3,0,0,0,4,0,1,1,2,48644,"Palm Springs, California","Palm Springs, California",-116.5452921,33.8302961
142,California,Cities,Palo Alto,5,2,2,1,0,0,0,5,2,3,0,0,67560,"Palo Alto, California","Palo Alto, California",-122.1430195,37.4418834
143,California,Cities,Paramount,2,1,0,1,0,0,0,2,0,1,1,0,55023,"Paramount, California","Paramount, California",-118.1597911,33.8894598
144,California,Cities,Parlier,1,1,0,0,0,0,0,1,0,1,0,0,15356,"Parlier, California","Parlier, California",-119.5270734,36.6116174
145,California,Cities,Pasadena,3,1,2,0,0,0,0,3,1,0,1,1,143448,"Pasadena, California","Pasadena, California",-118.1445155,34.1477849
146,California,Cities,Perris,1,1,0,0,0,0,0,1,1,0,0,0,79238,"Perris, California","Perris, California",-117.2286478,33.7825194
147,California,Cities,Petaluma,1,1,0,0,0,0,0,1,0,0,1,0,61289,"Petaluma, California","Petaluma, California",-122.6366524,38.232417
148,California,Cities,Pinole,1,1,0,0,0,0,0,1,0,1,0,0,19509,"Pinole, California","Pinole, California",-122.2988587,38.0043667
149,California,Cities,Pittsburg,1,1,0,0,0,0,0,1,0,0,1,0,73462,"Pittsburg, California","Pittsburg, California",-121.8846806,38.0279762
150,California,Cities,Placentia,5,3,1,1,0,0,0,5,0,2,1,2,52324,"Placentia, California","Placentia, California",-117.8627548,33.8710729
151,California,Cities,Pleasanton,1,1,0,0,0,0,0,1,0,1,0,0,84992,"Pleasanton, California","Pleasanton, California",-121.8757968,37.6604484
152,California,Cities,Poway,1,0,1,0,0,0,0,1,0,0,0,1,50346,"Poway, California","Poway, California",-117.0358646,32.9628232
153,California,Cities,Rancho Cucamonga,2,2,0,0,0,0,0,2,0,0,0,2,179114,"Rancho Cucamonga, California","Rancho Cucamonga, California",-117.5931084,34.10639889999999
154,California,Cities,Rancho Santa Margarita,1,1,0,0,0,0,0,1,0,1,0,0,48918,"Rancho Santa Margarita, California","Rancho Santa Margarita, California",-117.602832,33.640171
155,California,Cities,Red Bluff,2,2,0,0,0,0,0,2,0,1,0,1,14315,"Red Bluff, California","Red Bluff, California",-122.2358302,40.1784886
156,California,Cities,Redding,9,9,0,0,0,0,0,9,1,3,3,2,92068,"Redding, California","Redding, California",-122.3916754,40.5865396
157,California,Cities,Redlands,1,1,0,0,0,0,0,1,0,0,1,0,71954,"Redlands, California","Redlands, California",-117.1825381,34.0555693
158,California,Cities,Redwood City,2,1,1,0,0,0,0,2,2,0,0,0,88161,"Redwood City, California","Redwood City, California",-122.2363548,37.48521520000001
159,California,Cities,Rialto,1,1,0,0,0,0,0,1,0,1,0,0,104173,"Rialto, California","Rialto, California",-117.3703235,34.1064001
160,California,Cities,Richmond,12,11,1,0,0,0,0,12,3,3,6,0,110982,"Richmond, California","Richmond, California",-122.3477486,37.9357576
161,California,Cities,Rio Vista,1,0,1,0,0,0,0,1,0,1,NA,0,9268,"Rio Vista, California","Rio Vista, California",-121.6913439,38.1557502
162,California,Cities,Ripon,1,1,0,0,0,0,0,1,0,0,1,0,15878,"Ripon, California","Ripon, California",-121.1354141,37.7394537
163,California,Cities,Riverside,10,9,1,0,0,0,0,10,0,2,5,3,331022,"Riverside, California","Riverside, California",-117.3754942,33.9806005
164,California,Cities,Roseville,5,5,0,0,0,0,0,5,2,1,2,0,137706,"Roseville, California","Roseville, California",-121.2880059,38.7521235
165,California,Cities,Sacramento,11,4,1,6,0,0,0,11,1,5,1,4,507037,"Sacramento, California","Sacramento, California",-121.4943996,38.5815719
166,California,Cities,Salinas,1,0,0,1,0,0,0,1,NA,0,0,1,158590,"Salinas, California","Salinas, California",-121.6555013,36.6777372
167,California,Cities,San Bernardino,4,4,0,0,0,0,0,4,1,3,0,0,217986,"San Bernardino, California","San Bernardino, California",-117.2897652,34.1083449
168,California,Cities,San Bruno,1,0,0,1,0,0,0,1,1,0,0,0,43621,"San Bruno, California","San Bruno, California",-122.4110835,37.6304904
169,California,Cities,San Clemente,2,1,0,1,0,0,0,2,0,0,2,0,65509,"San Clemente, California","San Clemente, California",-117.6126004,33.4273521
170,California,Cities,San Diego,40,20,8,12,0,0,0,40,10,11,8,11,1436495,"San Diego, California","San Diego, California",-117.1610838,32.715738
171,California,Cities,San Dimas,1,0,1,0,0,0,0,1,1,0,0,0,34463,"San Dimas, California","San Dimas, California",-117.8067257,34.1066756
172,California,Cities,San Francisco,68,41,8,17,0,0,2,68,20,22,11,15,889282,"San Francisco, California","San Francisco, California",-122.4194155,37.7749295
173,California,Cities,San Gabriel,2,2,0,0,0,0,0,2,1,1,0,0,40637,"San Gabriel, California","San Gabriel, California",-118.1058333,34.09611110000001
174,California,Cities,San Jacinto,2,2,0,0,0,0,0,2,0,1,0,1,48830,"San Jacinto, California","San Jacinto, California",-116.958635,33.7839084
175,California,Cities,San Jose,37,22,6,9,0,0,0,37,7,10,10,10,1047305,"San Jose, California","San Jose, California",-121.8863286,37.3382082
176,California,Cities,San Leandro,2,1,1,0,0,0,0,2,1,1,0,0,91359,"San Leandro, California","San Leandro, California",-122.1568554,37.7257663
177,California,Cities,San Luis Obispo,6,4,0,0,1,1,0,6,1,1,1,3,47885,"San Luis Obispo, California","San Luis Obispo, California",-120.6596156,35.2827524
