"State","Agency_Type","Agency_name","Total_incidents_bias_motivation","Bias_Motivation_Race_Ethnicity_Ancestry","Bias_Motivation_Religion","Bias_Motivation_Sexual_orientation","Bias_Motivation_Disability","Bias_Motivation_Gender","Bias_Motivation_Gender_Identity","Total_incidents_Q1_to_Q4","No_of_incidents_Q1","No_of_incidents_Q2","No_of_incidents_Q3","No_of_incidents_Q4","Population"
"California","Universities and Colleges","University of California: Santa Cruz",1,0,0,1,0,0,0,1,0,0,0,1,"17,868"
"California","Universities and Colleges","Ventura County Community College District",1,0,0,1,0,0,0,1,0,0,0,1,"34,022"
"California","Metropolitan Counties","Butte",1,0,0,1,0,0,0,1,0,0,1,0,
"California","Metropolitan Counties","El Dorado",1,0,1,0,0,0,0,1,1,0,0,0,
"California","Metropolitan Counties","Fresno",1,0,0,1,0,0,0,1,0,1,0,0,
"California","Metropolitan Counties","Los Angeles",26,17,3,6,0,0,0,26,5,4,6,11,
"California","Metropolitan Counties","Orange",2,2,0,0,0,0,0,2,2,0,0,0,
"California","Metropolitan Counties","Riverside",5,3,0,1,0,0,1,5,0,1,3,1,
"California","Metropolitan Counties","Sacramento",10,8,1,1,0,0,0,10,5,3,1,1,
"California","Metropolitan Counties","San Bernardino",7,3,2,1,0,0,1,7,4,3,0,0,
"California","Metropolitan Counties","San Diego",18,13,1,4,0,0,0,18,1,7,8,2,
"California","Metropolitan Counties","San Mateo",3,1,1,1,0,0,0,3,1,1,1,0,
"California","Metropolitan Counties","Santa Barbara",1,1,0,0,0,0,0,1,0,0,0,1,
"California","Metropolitan Counties","Santa Clara",2,2,0,0,0,0,0,2,1,0,1,0,
"California","Metropolitan Counties","Shasta",2,2,0,0,0,0,0,2,1,1,0,0,
"California","Metropolitan Counties","Solano",1,1,0,0,0,0,0,1,0,0,1,0,
"California","Metropolitan Counties","Sonoma",4,1,0,3,0,0,0,4,0,1,3,0,
"California","Metropolitan Counties","Sutter",1,1,0,0,0,0,0,1,0,0,0,1,
"California","Metropolitan Counties","Ventura",2,2,0,0,0,0,0,2,0,1,1,0,
"California","Metropolitan Counties","Yuba",2,1,0,1,0,0,0,2,0,0,0,2,
"California","Nonmetropolitan Counties","Amador",1,0,1,0,0,0,0,1,0,0,1,0,
"California","Nonmetropolitan Counties","Humboldt",1,0,1,0,0,0,0,1,0,0,0,1,
"California","Nonmetropolitan Counties","Lake",1,1,0,0,0,0,0,1,0,1,0,0,
"California","Nonmetropolitan Counties","Mendocino",2,2,0,0,0,0,0,2,1,0,0,1,
"California","Nonmetropolitan Counties","Tuolumne",1,0,1,0,0,0,0,1,0,0,1,0,
"California","Other Agencies","California State Fair",1,1,0,0,0,0,0,1,0,0,1,0,
"California","Other Agencies","East Bay Regional Parks, Alameda County",1,0,1,0,0,0,0,1,0,0,0,1,
"California","Other Agencies","Fontana Unified School District",1,0,0,1,0,0,0,1,0,0,0,1,
"California","Other Agencies","Los Angeles Transportation Services Bureau2",15,10,0,4,0,0,1,15,7,2,3,3,
"California","Other Agencies","Port of San Diego Harbor",3,2,1,0,0,0,0,3,2,0,1,0,
"California","Other Agencies","San Francisco Bay Area Rapid Transit:  Alameda County",2,2,0,0,0,0,0,2,1,0,0,1,
"California","Other Agencies","San Francisco Bay Area Rapid Transit:  Contra Costa County",2,2,0,0,0,0,0,2,1,0,0,1,
"California","Other Agencies","Santa Clara Transit District",2,1,0,1,0,0,0,2,0,0,1,1,
"Colorado","Cities","Aspen",1,0,1,0,0,0,0,1,0,0,0,1,"6,926"
"Colorado","Cities","Aurora",18,15,0,3,0,0,0,18,1,3,6,8,"366,477"
"Colorado","Cities","Boulder",4,2,1,1,0,0,0,4,1,1,2,0,"109,189"
"Colorado","Cities","Breckenridge",1,0,0,1,0,0,0,1,0,0,1,0,"4,971"
"Colorado","Cities","Carbondale",1,1,0,0,0,0,0,1,0,1,0,0,"6,728"
"Colorado","Cities","Centennial",2,2,0,0,0,0,0,2,0,0,2,0,"111,479"
"Colorado","Cities","Colorado Springs",6,1,1,4,0,0,0,6,0,2,1,3,"464,113"
"Colorado","Cities","Delta",1,0,0,1,0,0,0,1,1,0,0,0,"8,778"
"Colorado","Cities","Denver",19,10,3,6,0,0,0,19,4,2,1,12,"699,259"
"Colorado","Cities","Dillon",1,0,1,0,0,0,0,1,0,0,0,1,972
"Colorado","Cities","Erie",1,1,0,0,0,0,0,1,0,0,1,0,"22,115"
"Colorado","Cities","Florence",1,1,0,0,0,0,0,1,0,0,1,0,"3,861"
"Colorado","Cities","Fort Collins",2,2,0,0,0,0,0,2,2,0,0,0,"164,670"
"Colorado","Cities","Fort Lupton",1,1,0,0,0,0,0,1,0,1,0,0,"7,903"
"Colorado","Cities","Fountain",1,0,0,1,0,0,0,1,0,0,0,1,"28,115"
"Colorado","Cities","Golden",1,1,0,0,0,0,0,1,0,0,1,0,"20,616"
"Colorado","Cities","Grand Junction",3,3,0,0,0,0,0,3,0,0,3,0,"60,628"
"Colorado","Cities","Longmont",3,3,0,0,0,0,0,3,0,0,1,2,"93,268"
"Colorado","Cities","Loveland",1,1,0,0,0,0,0,1,0,0,1,0,"76,936"
